Pair,UF_Sharpe,UF_Return,UF_MaxDD,F_Sharpe,F_Return,F_MaxDD,Pct_Healthy,Eff_Obs,Lo_CI_Low,Lo_CI_High,Bootstrap_CI_Low,Bootstrap_CI_High,MC_pvalue,WF_Mean_Sharpe,WF_Pct_Positive,WF_N_Folds
SCHW/RF,-0.23484662949465016,-0.48674387584562817,-0.768188225630285,0.10566329710289263,0.09558597875519004,-0.3462456825833291,8.436944937833037,1126,0.047091611807252146,0.16423498239853312,-0.6700493955233202,1.2242909195865144,0.324,-0.05210753025034638,18.75,32
BAC/PNC,-0.12581471864096053,-0.07417820519001805,-0.340843672153645,0.007596929569705402,0.0014668876496530814,-0.06716144510010563,8.880994671403197,1126,-0.050812795468529286,0.06600665460794009,-0.8964110804170847,0.9453520590519006,0.4426,0.35873926246486926,31.25,32
EMR/WM,-0.3560902168021378,-0.18035024757446327,-0.3050292477925463,0.3341169551608365,0.11074068503205492,-0.0721371056075153,8.436944937833037,1126,0.2741000999493946,0.3941338103722784,-0.5866010619967406,1.216246050674617,0.2136,0.23419796836377935,25.0,32
AMZN/DPZ,0.4782813705518562,0.49329747194324436,-0.31656073662120515,0.050463517567810215,0.011355631058947324,-0.08584323626892337,8.792184724689166,1126,-0.007982538431482306,0.10890957356710274,-0.8053596566400876,1.0836484234206032,0.461,0.18718525198884342,18.75,32
DUK/PEG,0.07935731815463361,0.04779576122844542,-0.3646489293485452,0.08382718840155182,0.018709851061287308,-0.07254436513727612,10.124333925399645,1126,0.02531578630427527,0.14233859049882835,-0.7604839360062019,1.129673651101521,0.3803,0.01290591387629857,12.5,32
FCX/VMC,-0.42011976383807575,-0.3952872763030114,-0.6166539515302905,0.6414335657858873,0.2324530949049255,-0.09963262283315105,7.104795737122557,1126,0.5772975673803467,0.7055695641914279,-0.2828367613544692,1.5289923483103922,0.0732,0.20944497617491586,25.0,32
PSX/FANG,0.636226578134005,0.5352494971483135,-0.2017576944794739,0.12262266889581688,0.01814224372359785,-0.05893135956493306,9.236234458259325,1126,0.06399463408337613,0.18125070370825763,-0.8021433533232997,1.0399491761795523,0.3659,0.036673971774394076,9.375,32
KR/AZO,0.16562618519278025,0.1355388394640309,-0.29017669018303777,0.22702772056453555,0.05252665673952772,-0.10055526701846612,7.992895204262878,1126,0.1678710040792017,0.2861844370498694,-0.6985699408101692,1.1592496694467602,0.266,0.31179581211603197,28.125,32
PNC/CFG,0.507598233468701,2.605690774875686,-0.5154957346714915,0.7871343944819287,1.6671334819970878,-0.26084991110887734,20.603907637655418,1126,0.7202877245744205,0.8539810643894369,-0.082912997877217,2.226883979046081,0.0308,0.34001502705093356,40.625,32
QCOM/INTU,-0.16742457153878493,-0.13464940111767765,-0.34694416653005333,0.15940725598993222,0.02112767068443433,-0.034375587936279706,7.992895204262878,1126,0.10062849259029885,0.21818601938956558,-0.758680283261613,1.0613531691570945,0.3282,0.1782597579379027,18.75,32
