ADF_p,Hurst_max,Coint_p,Median_Sharpe,Median_MaxDD
0.01,0.45,0.05,0.07806460471636999,-0.0798292131318902
0.01,0.45,0.1,0.0649223960556021,-0.09415616657635742
0.01,0.5,0.05,0.07806460471636999,-0.0798292131318902
0.01,0.5,0.1,0.0649223960556021,-0.09774983464452791
0.05,0.45,0.05,0.14101679578350174,-0.07919392729479877
0.05,0.45,0.1,0.21722302376333855,-0.09290325440962817
0.05,0.5,0.05,0.14101679578350174,-0.07919392729479877
0.05,0.5,0.1,0.21722302376333855,-0.09461439217568329
0.1,0.45,0.05,0.14101679578350174,-0.07919392729479877
0.1,0.45,0.1,0.21722302376333855,-0.09290325440962818
0.1,0.5,0.05,0.14101679578350174,-0.07919392729479877
0.1,0.5,0.1,0.21722302376333855,-0.09461439217568329
