Fold,Train_Start,Train_End,Test_Start,Test_End,Train_Days,Test_Days,Return_%,Ann_Return_%,Sharpe,Max_DD_%,Win_Rate_%
1,2015-01-02,2016-12-30,2017-01-03,2017-07-03,504,126,-14.457014443647132,-26.823976221056046,-2.2399813764775147,-15.773868974446742,12.698412698412698
2,2015-01-02,2017-04-03,2017-04-04,2017-10-02,567,126,2.2671603696870157,4.5857209007928335,0.5204993497659214,-4.95821104140669,14.285714285714285
3,2015-01-02,2017-07-03,2017-07-05,2018-01-02,630,126,9.786629720319473,20.53104065346536,2.3801477952044476,-3.290513140866031,17.46031746031746
4,2015-01-02,2017-10-02,2017-10-03,2018-04-04,693,126,-3.857804034918344,-7.566781550118362,-0.5939649026219339,-10.62327481766363,19.047619047619047
5,2015-01-02,2018-01-02,2018-01-03,2018-07-03,756,126,-4.613659738795484,-9.014460915737143,-0.6753982789899307,-11.248084779178079,20.634920634920633
6,2015-01-02,2018-04-04,2018-04-05,2018-10-02,819,126,5.536418813575783,11.379356959944719,1.3440361251369781,-2.8636510958511607,18.253968253968253
7,2015-01-02,2018-07-03,2018-07-05,2019-01-03,882,126,6.515330338559533,13.455155971324606,1.291975733858935,-6.168493155620604,15.873015873015872
8,2015-01-02,2018-10-02,2018-10-03,2019-04-04,945,126,3.9764888535612553,8.111102343147468,0.7234691839053087,-7.042715749841964,17.46031746031746
9,2015-01-02,2019-01-03,2019-01-04,2019-07-05,1008,126,2.1277207671337006,4.300713490896313,0.5189037040420417,-3.411992367459493,17.46031746031746
10,2015-01-02,2019-04-04,2019-04-05,2019-10-03,1071,126,2.5095741671954386,5.08212795939742,0.476785174628963,-7.915391723113825,13.492063492063492
11,2015-01-02,2019-07-05,2019-07-08,2020-01-03,1134,126,-2.17201854946919,-4.296860453146001,-0.41951941859471575,-6.970570629201667,10.317460317460316
12,2015-01-02,2019-10-03,2019-10-04,2020-04-03,1197,126,-37.40192557357928,-60.814810781042915,-1.540967668852957,-39.295892691872744,15.079365079365079
13,2015-01-02,2020-01-03,2020-01-06,2020-07-06,1260,126,-22.100005056228422,-39.31590787760363,-0.9185965723600515,-38.134909898541636,15.873015873015872
14,2015-01-02,2020-04-03,2020-04-06,2020-10-02,1323,126,31.497685331689397,72.91641247592,3.928045886443809,-6.325424377760171,11.11111111111111
15,2015-01-02,2020-07-06,2020-07-07,2021-01-04,1386,126,4.12831381698775,8.427057383690828,0.5448521044140324,-7.641631968755133,15.873015873015872
16,2015-01-02,2020-10-02,2020-10-05,2021-04-06,1449,126,7.768545874391952,16.140594798809225,0.9369151522448157,-7.641631968755148,25.396825396825395
17,2015-01-02,2021-01-04,2021-01-05,2021-07-06,1512,126,5.932450154266178,12.216839956860891,0.9589631841870613,-7.470717563460581,21.428571428571427
18,2015-01-02,2021-04-06,2021-04-07,2021-10-04,1575,126,-1.7738403956193416,-3.516215693747371,-0.26516629164417765,-14.748934111048673,17.46031746031746
19,2015-01-02,2021-07-06,2021-07-07,2022-01-03,1638,126,6.685632357865923,13.818241515977281,1.0325748795806688,-8.23654083211338,12.698412698412698
20,2015-01-02,2021-10-04,2021-10-05,2022-04-04,1701,126,8.263691639932613,17.21026927506415,1.487456038288602,-5.421498111274692,11.904761904761903
21,2015-01-02,2022-01-03,2022-01-04,2022-07-06,1764,126,16.31856000826808,35.300074023970616,2.538830460398789,-5.42149810478099,20.634920634920633
22,2015-01-02,2022-04-04,2022-04-05,2022-10-04,1827,126,12.464768061288378,26.483240550793894,2.225429894024829,-3.324926029883183,14.285714285714285
23,2015-01-02,2022-07-06,2022-07-07,2023-01-04,1890,126,-12.937757699140695,-24.201659655464645,-2.7767938539257813,-13.008964071055596,5.555555555555555
24,2015-01-02,2022-10-04,2022-10-05,2023-04-05,1953,126,-11.277588587616549,-21.283337131717705,-2.2278170041461376,-12.324180984636312,9.523809523809524
25,2015-01-02,2023-01-04,2023-01-05,2023-07-07,2016,126,-3.1353873812467126,-6.172468222188609,-0.42831416260609445,-11.612343609559476,15.079365079365079
26,2015-01-02,2023-04-05,2023-04-06,2023-10-05,2079,126,-13.891843308405017,-25.853853511757265,-2.1946788335537257,-14.151654090498358,11.904761904761903
27,2015-01-02,2023-07-07,2023-07-10,2024-01-05,2142,126,-7.892442573935099,-15.161978650041563,-1.296309593775308,-11.481542910716813,10.317460317460316
28,2015-01-02,2023-10-05,2023-10-06,2024-04-08,2205,126,-4.15822377491989,-8.143539300216684,-0.6905086460520918,-9.838044867394485,9.523809523809524
29,2015-01-02,2024-01-05,2024-01-08,2024-07-09,2268,126,-2.690018660096416,-5.307675316276161,-0.5855290205774072,-6.740232843078292,11.11111111111111
30,2015-01-02,2024-04-08,2024-04-09,2024-10-07,2331,126,-4.9718060188101205,-9.696423486733474,-0.7784142446047569,-14.323120592732375,13.492063492063492
31,2015-01-02,2024-07-09,2024-07-10,2025-01-07,2394,126,-7.9915776872857,-15.344502235252177,-1.3383645195327918,-14.323120592732375,11.904761904761903
32,2015-01-02,2024-10-07,2024-10-08,2025-04-09,2457,126,4.514653369651733,9.23312768978455,0.7107001726169099,-7.507478242242276,19.047619047619047
