Pair,Sector,F_Sharpe,UF_Sharpe,F_Lo_CI_Lo,F_Lo_CI_Hi,UF_Lo_CI_Lo,UF_Lo_CI_Hi,CI_Excludes_Zero,N_OOS_Days,F_Ann_Dollar_100K,F_Total_PnL_100K,Capacity_Est_M,Breakeven_Cost_Bps,Healthy_Pct,Sharpe_at_0bps,Sharpe_at_5bps,Sharpe_at_10bps,Sharpe_at_20bps,Sharpe_at_30bps
BAC/PNC,Banking,0.0076,-0.1258,-0.051,0.066,-0.184,-0.067,False,1126,33.0,147.0,0.0,5.9,8.9,0.049699382363804626,0.007592061713793897,-0.03391114769213366,-0.11494988961592756,-0.19314728112649004
WFC/MS,Financials,-0.2627,-0.0449,-0.322,-0.203,-0.103,0.014,False,1126,-258.0,-1147.0,0.0,,2.7,-0.21792670421344262,-0.2627350138630667,-0.30654602823693333,-0.3901400161537542,-0.4670203069039581
CVX/OXY,Energy,0.1184,-0.6135,0.06,0.177,-0.677,-0.55,True,1126,2703.0,12655.0,0.3,30.0,5.3,0.12142311236473605,0.1184298710815276,0.11543590903576884,0.10944605246901958,0.10345400298904622
PNC/CFG,Banking,0.7871,0.5076,0.72,0.854,0.446,0.57,True,1126,24551.0,166711.0,3.6,30.0,20.6,0.7992854257551155,0.7871253900796399,0.7749779311185726,0.7507227517823714,0.7265239107854539
FCX/VMC,Materials,0.6414,-0.4201,0.577,0.706,-0.481,-0.359,True,1126,4789.0,23245.0,2.2,30.0,7.1,0.6649030751364072,0.6414352313570006,0.6180000371632699,0.571266295968344,0.5247774510751316
