Pair,actual_sharpe,n_obs,boot_ci_lo,boot_ci_hi,boot_se,lo_ci_lo,lo_ci_hi,lo_se,mc_pvalue,mc_mean,mc_std,n_trades,pct_in_position
AEP/SRE,0.2813866829673174,1126.0,-0.6355980179530726,1.2295095810540377,0.47316324669338056,0.22183284127613712,0.34094052465849767,0.03038517144240066,0.2282,-0.011263936650056183,0.4361082545218968,7.0,0.05150976909413854
CVX/COP,0.4446314508949608,1126.0,-0.6123616773044195,1.05905459279291,0.41885604538298576,0.3834037688617353,0.5058591329281864,0.031239187309655532,0.1828,-0.008205898844662511,0.4849194213210319,1.0,0.008880994671403197
