Pair,Baseline_Sharpe,RL_Sharpe,Sharpe_Delta,RL_Trades,Baseline_Trades,RL_Return,BL_Return,RL_MaxDD,BL_MaxDD,Val_Sharpe,Episodes,RL_Improved
BAC/PNC,-0.12581756481968454,0,0.12581756481968454,147,58,0,-0.07417974351206291,0,-0.3408437752954924,0.37940156470549385,28,True
WFC/MS,-0.04535986381960171,0,0.04535986381960171,22,54,0,-0.027131588268648255,0,-0.37459842672688787,0.6305064417919733,28,True
CVX/OXY,-0.6134548126700132,0,0.6134548126700132,8,55,0,-0.9078104712787978,0,-0.9552904228397884,0.7845812116200658,26,True
AEP/SRE,0.21967750308353265,0,-0.21967750308353265,16,56,0,0.10694249779342013,0,-0.19161542772406667,1.1781966908882835,25,False
