Sector,Ticker_Y,Ticker_X,Score,Coint_pval,Correlation,ADF_pval,Half_Life,Hedge_Ratio,ADV_Min
Banking,SCHW,RF,100,0.0062283919347916996,0.9597965622234029,7.284458227600952e-05,46.07565788081467,3.558425727673964,142891755.16407913
Healthcare,AMGN,SYK,100,0.009389350026015608,0.9363592524781923,0.003592330304868803,62.746598943989305,0.6308521419446134,269072628.208654
Banking,BAC,PNC,100,0.0053121358695093724,0.9869746577633741,0.00022149956277439545,38.81692760110815,0.2527994070268693,254825470.2373169
Materials,VMC,MLM,100,0.005553049456933124,0.9937341698184139,5.572836725186957e-06,33.45883605146679,0.40877458287739743,145121039.99914458
Materials,LIN,VMC,100,0.007520094849036607,0.9625392560318874,0.0005085436019969325,53.23273158301605,2.0969433350139197,145121039.99914458
Industrials,EMR,WM,100,0.0033683561639394704,0.958528960328534,0.0006049331400028011,49.02278417578167,0.4220720265733646,198754513.75288114
Industrials,CAT,CTAS,100,0.001753304200727901,0.9736754826714844,0.0006434981932274214,54.342861504406656,1.616567840255756,143882638.63509884
Industrials,CAT,EMR,100,0.0056343926446117115,0.9713804068520034,0.0038572042305114393,58.63810110474204,3.7507382482878144,221004915.3803123
Industrials,HON,NSC,100,0.004836168355124091,0.9692933004623916,7.674178507006298e-05,44.84981657590072,0.6440015208489164,243191783.44879466
Utilities,SRE,ED,100,0.000772301546443844,0.9349846165211351,0.00037006503632695516,54.57455731939796,0.8101109104893136,137415818.01743189
Consumer,AMZN,DPZ,100,0.008660212225704745,0.9570665412112358,0.0005461018066520437,46.07743245298914,0.4452483889927848,190196879.6598849
Consumer,CL,CMG,100,0.002294005923790856,0.9228048758528551,0.00018727260518488798,41.6988211663204,0.67662391476019,272485209.1455213
Banking,PNC,FITB,100,0.0012312160710893378,0.9851941412466719,0.00019848489894942032,46.485929730653055,4.097855259280039,141053939.63192254
Tech,AVGO,IBM,100,0.00048281511455999944,0.9586646007461772,5.23950057866249e-06,34.69196358784145,1.3251251583815549,555391405.5273076
Tech,GOOGL,INTU,100,0.0002152121925358281,0.9770160233144779,0.00014465965699264513,42.88039897016089,0.2365640512698293,481966694.6211719
Tech,AMD,QCOM,100,0.009425549345410403,0.9553600918743756,0.0018607393607572562,56.28428166702485,1.1099209882296937,888558438.687426
Tech,MSFT,INTU,100,0.001979716272875075,0.9853204419817223,0.00013606456331676544,40.77155611000285,0.6668706236651392,481966694.6211719
Tech,QCOM,TSLA,90,0.004068196737190094,0.8958002334696396,0.012855037238536997,81.7720087615558,0.33644905992456015,888558438.687426
Tech,GOOGL,AMD,90,0.007147499652513487,0.9408428821023744,0.01743688151515834,83.9446179831257,0.8360230666736589,2872083198.197393
Energy,KMI,WMB,90,0.006946594306112286,0.8528238095012531,0.0010507844274621567,115.24149870079715,0.3522483976595615,192015930.27968603
Energy,PSX,MPC,85,0.024023474179080535,0.9505450200220233,0.005642559208793336,78.13645287444798,0.5208234526874115,233730378.1041819
Consumer,KMB,DPZ,85,0.015872625504351142,0.8488787733415997,0.0010199180294523235,54.99879395369501,0.11563967568964281,190196879.6598849
Consumer,KMB,CMG,85,0.03249897767894035,0.8217845800347228,0.0024888954715523914,64.91721930029972,0.835448411775476,196919053.93950224
Retail,TJX,ORLY,85,0.028144835905390672,0.9760073864057446,0.0012906720612934663,56.653901227896334,1.1811631618357559,291428852.5075294
Energy,EOG,FANG,85,0.024005526984674338,0.9549366484734848,0.005637159457626234,73.96389908064737,0.6167101917836237,185612057.14408478
Consumer,SBUX,KMB,85,0.036398513236806936,0.8361463570270062,0.003174044561240126,65.3823465301924,1.0647538480505612,196919053.93950224
Consumer,KMB,MDLZ,85,0.026759204216369924,0.8933737954062848,0.002979219113160722,63.88342779936291,1.175665853625345,196919053.93950224
Utilities,SRE,FE,85,0.04808359563071522,0.909146783281393,0.0016348440828287086,59.263008990710354,1.9387410188168317,120691438.6681623
Utilities,DUK,PEG,85,0.017607676681121887,0.969050737738288,0.0008548701672312284,54.14827732133225,1.2115528958636899,128679027.25967373
Utilities,AEP,SRE,85,0.010762262593976762,0.9494798833107435,0.0008190045005733207,51.92066438888718,1.1967632074210859,167811567.75994197
Materials,VMC,STLD,85,0.03253487745358297,0.9380677787205844,0.003111753484961727,67.9874313107083,1.3277323590218786,107630071.06005463
Materials,LIN,MLM,85,0.017072908432000274,0.9679588470060514,0.003799231543667842,68.48316559866652,0.8674387087946646,152130143.48659348
Healthcare,UNH,TMO,85,0.012247288665694963,0.9524835402320919,0.0025950411498547716,62.038023976777176,0.822437216883602,559672798.5551836
Banking,JPM,AXP,85,0.013106028127006553,0.9794487845750932,0.0055963316991778315,65.77210666751647,0.8133292981794296,459904108.734917
Banking,USB,TFC,85,0.03171327180773622,0.9390061005608724,0.0024491005152216896,56.349105669001325,0.7968333900849107,211941578.4393586
Banking,SCHW,FITB,85,0.02768535922648955,0.9520418488943546,0.0008891516165386768,57.56363982293319,1.9902587766358335,141053939.63192254
Materials,FCX,MLM,85,0.020152237314299076,0.9012346519675649,0.004600967246052366,78.21193495871046,0.09031062475013217,152130143.48659348
Healthcare,SYK,ISRG,85,0.029727269520494003,0.9764591926905756,0.002285715076656916,58.256296056412374,0.620317027404044,269072628.208654
Healthcare,JNJ,ZTS,85,0.020518629620184702,0.9359312639160322,0.004700004465133359,67.83901011449221,0.4690850954202494,267565605.7965805
Healthcare,JNJ,UNH,85,0.028191054165559577,0.9391887627778791,0.006809126009677981,64.12604647139172,0.17089683490063706,954131493.7625568
Industrials,ETN,CTAS,85,0.029010487224709967,0.9755294580274128,0.0013642293774081755,57.88783919126741,1.5284908797146879,143882638.63509884
Industrials,LMT,ITW,85,0.028750424958174994,0.9339804434136576,0.006958521837714383,78.96730112961262,1.656179517654251,190674648.4569315
Materials,FCX,VMC,85,0.02595810806480639,0.8790614251608095,0.006174731962667829,83.25513914145104,0.2141443039754954,145121039.99914458
Utilities,PPL,NRG,77,0.011464895450550629,0.7539823720953932,0.004332696410733894,65.03180433019163,0.09974957437683014,119730958.27303013
Utilities,NEE,XEL,75,0.023678990102301532,0.9520452788568669,0.016682065765058995,83.94549012657933,1.4401212030873318,157202399.6582492
Healthcare,ABBV,AMGN,75,0.02518918267138332,0.944949012548955,0.015159045209370366,73.20515048414283,0.7624348328548468,536827175.8321196
Energy,VLO,FANG,75,0.046304276190556735,0.9323687885956629,0.012213833274802733,77.00417818518201,0.787821801011566,185612057.14408478
Energy,PSX,FANG,75,0.04308682596303715,0.9252588416107974,0.011211200036344451,76.34432280602843,0.5630072755688952,185612057.14408478
Energy,CVX,VLO,75,0.02327379080611459,0.943380866726059,0.010474572534220326,79.19951597686611,0.8830389920549352,301554045.8895454
Retail,KR,AZO,75,0.04082432008937578,0.9323896231611534,0.010519007006228901,71.90621703853103,0.01238877577734605,263834727.85022795
Retail,ORLY,AZO,65,0.05242983169456154,0.9931830186721325,0.0012931880906066715,51.48636512774203,0.024036069408091953,291428852.5075294
Retail,KR,ORLY,55,0.07337398779592318,0.9219781132205243,0.02122901398911282,84.13661116985745,0.5061944845059805,263834727.85022795
Retail,HD,LOW,40,0.16438518719889678,0.9853884711084575,0.04205900412133872,90.63887768408456,1.3875641359811872,510362073.2158426
Retail,TJX,AZO,40,0.2635676976709851,0.9572707165100749,0.033098276454390965,93.98385324607655,0.028036624629798987,306052758.9940406
Industrials,CAT,WM,85,0.017626879121441046,0.9571458400084082,0.006002256250221244,69.96337339783615,1.627372095035608,198754513.75288114
Industrials,EMR,CTAS,85,0.014863033272249849,0.9523041953383357,0.0032395782373722025,64.12108986087847,0.4094755547324506,143882638.63509884
Banking,TFC,KEY,85,0.03790241900937697,0.9599666520156099,0.0012242840031009812,48.99998868070051,2.24756451890121,145863867.74715504
Banking,PNC,CFG,85,0.03221775978453924,0.9674319407229679,0.0024426638802371946,62.06472728573843,4.321667941609051,140816698.28278497
Tech,QCOM,INTU,85,0.027606942865853797,0.9435042316609024,0.006642082621865074,67.23439183733906,0.22129152938509283,481966694.6211719
Consumer,TGT,NKE,85,0.026605763316381356,0.9154292747594842,0.006356127717348517,72.19079495852712,1.517065954369488,489414412.5825275
