Pair,Pct_Healthy,Avg_Health_Score,UF_Sharpe,F_Sharpe,UF_MaxDD,F_MaxDD,UF_Return,F_Return,Signals_Blocked,Should_Trade
BAC/PNC,8.880994671403197,0.30549712876420465,-0.12581681613349102,0.0075921793417572,-0.3408445493327879,-0.06716188639376758,-0.07417934413924143,0.0014659659763867072,89.29663608562691,True
WFC/MS,2.664298401420959,0.27382098718127407,-0.045361030014848515,-0.2626005123317426,-0.374598275251937,-0.01686645170226667,-0.02713225160792121,-0.011464202507134535,96.996996996997,False
CVX/OXY,5.328596802841918,0.2565343743217002,-0.6127543031405169,0.11920811273947168,-0.9542683059416117,-0.23771077963342985,-0.9059329763874903,0.12664627136571882,93.53846153846153,True
