Pair,Baseline_Sharpe,RL_Sharpe,Sharpe_Change,Baseline_Return_%,RL_Return_%,Baseline_MaxDD_%,RL_MaxDD_%,Baseline_Trades,RL_Trades,RL_Improved,Train_Episodes,Best_Val_Sharpe
BAC_PNC,-0.12581784325396053,0,0.12581784325396053,-7.417995515985165,0,-34.08446426802549,0,58,95,True,27,0.8026232029981192
WFC_MS,-0.045364274552966495,0,0.045364274552966495,-2.7134191573561006,0,-37.45994408659534,0,54,230,True,24,0.5825290430786542
CVX_OXY,-0.6127555173620307,0,0.6127555173620307,-90.59337049754066,0,-95.42685530742348,0,55,163,True,30,0.6722717111807431
